time,RR,beat
1141.756,1024,Q
1142.792,1036,Q
1143.812,1020,Q
1144.812,1000,Q
1145.836,1024,Q
1146.836,1000,Q
1147.84,1004,Q
1148.828,988,Q
1149.792,964,Q
1150.716,924,Q
1151.656,940,Q
1152.672,1016,Q
1153.652,980,Q
1154.636,984,Q
1155.684,1048,Q
1156.72,1036,Q
1157.552,832,A
1158.736,1184,Q
1159.836,1100,Q
1160.88,1044,Q
1161.916,1036,Q
1162.944,1028,Q
1163.976,1032,Q
1165.016,1040,Q
1166.02,1004,Q
1167.048,1028,Q
1168.072,1024,Q
1169.092,1020,Q
1170.168,1076,Q
1171.236,1068,Q
1172.304,1068,Q
1173.356,1052,Q
1174.4,1044,Q
1175.436,1036,Q
1176.48,1044,Q
1177.528,1048,Q
1178.568,1040,Q
1179.58,1012,Q
1180.612,1032,Q
1181.66,1048,Q
1182.696,1036,Q
1183.724,1028,Q
1184.708,984,Q
1185.66,952,Q
1186.604,944,Q
1187.516,912,Q
1188.468,952,Q
1189.448,980,Q
1190.516,1068,Q
1191.656,1140,Q
1192.732,1076,Q
1193.824,1092,Q
1194.908,1084,Q
1195.984,1076,Q
1197.056,1072,Q
1198.128,1072,Q
1199.192,1064,Q
1200.244,1052,Q
1201.312,1068,Q
1202.364,1052,Q
1203.444,1080,Q
1204.504,1060,Q
1205.604,1100,Q
1206.676,1072,Q
1207.744,1068,Q
1208.8,1056,Q
1209.872,1072,Q
1210.94,1068,Q
1211.964,1024,Q
1212.984,1020,Q
1214.028,1044,Q
1215.108,1080,Q
1216.18,1072,Q
1217.256,1076,Q
1218.332,1076,Q
1219.412,1080,Q
1220.484,1072,Q
1221.54,1056,Q
1222.596,1056,Q
1223.632,1036,Q
1224.684,1052,Q
1225.716,1032,Q
1226.748,1032,Q
1227.772,1024,Q
1228.792,1020,Q
1229.816,1024,Q
1230.852,1036,Q
1231.88,1028,Q
1232.904,1024,Q
1233.952,1048,Q
1234.992,1040,Q
1236.036,1044,Q
1237.084,1048,Q
1238.132,1048,Q
1239.18,1048,Q
1240.204,1024,Q
1241.228,1024,Q
1242.252,1024,Q
1243.276,1024,Q
1244.304,1028,Q
1245.324,1020,Q
1246.34,1016,Q
1247.348,1008,Q
1248.364,1016,Q
1249.388,1024,Q
